name	type	is_constant_by_feature	is_input	format	theme	digits	pretty_name	description
feature_name	character	FALSE	TRUE	character	default		ID Promo	"Nombre único de la promo (hasta 22 caracteres, sin espacios)."
user	character	TRUE	TRUE	character	default		Usuario	Usuario de red que cargará las promos.
dept_nbr	numeric	TRUE	TRUE	character	default		Departamento	Número de departamento (sin ceros a la izquierda).
negocio	character	TRUE	TRUE	character	default		Negocio	"Formato de negocio (BAE, BODEGA, MIBODEGA, SUPERAMA o SUPERCENTER)"
old_nbr	numeric	FALSE	TRUE	character	default		Artículo (old_nbr)	Número de artículo de HOST (old_nbr en Teradata).
primary_desc_temp	character	FALSE	TRUE	character	default		Descripción (opcional)	Descripción del artículo sólo para referencia en la página de inputs. En los resultados se sustituye por la descripción del artículo primario.
min_feature_perc	numeric	TRUE	TRUE	percent	default	0	Mínimo de exhibición (%)	"Porcentaje de la cantidad máxima de piezas en el mueble que se desea en la exhibición (entre todos los artículos). Su efecto depende de la opción seleccionada en ""Lógica mínimo""."
min_feature_qty	numeric	TRUE	FALSE	comma	default	0	Mínimo de exhibición (pzas)	"Mínimas piezas totales en el mueble (entre todos los artículos). Su efecto depende de la opción seleccionada en ""Lógica mínimo""."
max_feature_qty	numeric	FALSE	FALSE	comma	default	0	Máximo de exhibición	Máximas piezas totales en el mueble (entre todos los artículos).
shelf	character	TRUE	TRUE	character	default		Mueble deseado	"Tipo de mueble que tendrá la exhibición (Base, Media Base, Cabecera alta, Cabecera baja, Cabecera circular)."
default_shelf	character	TRUE	TRUE	character	default		Mueble predeterminado	Tipo de mueble que se usará para los cálculos en las combinaciones en las que no se encuentre el mueble deseado.
max_ddv	numeric	FALSE	TRUE	comma	default	1	Máximo de DDV	Tope máximo de días de venta por artículo.
semana_ini	numeric	TRUE	TRUE	character	default		Semana inicial cálculo	"Semana Walmart inicial para calcular forecast o ventas (debe ser a pasado si fcst_or_sales = ""S"" y a futuro si es = ""F"")."
semana_fin	numeric	TRUE	TRUE	character	default		Semana final cálculo	"Semana Walmart final para calcular forecast o ventas (debe ser a pasado si fcst_or_sales = ""S"" y a futuro si es = ""F"")."
fcst_or_sales	character	TRUE	TRUE	character	default		¿Forecast o ventas?	"""F"" para usar forecast y ""S"" para usar ventas."
StartDate	date	TRUE	TRUE	date	default		Promo StartDate	Fecha de inicio de efectividad de la promo. Hay que especificar el formato de la fecha al subir el archivo.
EndDate	date	TRUE	TRUE	date	default		Promo EndDate	Fecha de fin de efectividad de la promo. Hay que especificar el formato de la fecha al subir el archivo.
Priority	numeric	TRUE	TRUE	comma	default	0	Priority	Prioridad de la estrategia en el sistema.
white_list	character	TRUE	TRUE	character	default		Incluir sólo estas tiendas (opcional)	Tiendas que serán exclusivamente incluidas en la promoción.
black_list	character	TRUE	TRUE	character	default		Excluir estas tiendas (opcional)	Tiendas que serán excluidas de la promoción.
timestamp	datetime		FALSE	datetime	default		Timestamp	Timestamp
cid	numeric		FALSE	character	default		CID	CID = repl_group_nbr en Teradata
primary_desc	character		FALSE	character	default		Descripción	Descripción del artículo.
n_stores	numeric		FALSE	comma	default	0	Número de tiendas	Número de tiendas.
avg_dly_sales	numeric		FALSE	comma	default	2	Ventas diarias promedio	Ventas diarias promedio dentro de la ventana de semanas especificada.
avg_dly_forecast	numeric		FALSE	comma	default	2	Forecast diario promedio	Forecast diario promedio dentro de la ventana de semanas especificada.
total_cost	numeric		FALSE	comma	header-theme1	0	Costo estrategia	Costo total de la estrategia sin tomar en cuenta otros safeties (i.e. compra máxima).
total_impact_cost	numeric		FALSE	comma	header-theme1	0	Impacto en costo	Impacto en la compra en pesos a costo tomando en cuenta los demás safeties.
total_stock_cost	numeric		FALSE	comma	header-theme1	0	Costo final	Costo de la mercancía que habría en las tiendas considerando el OH y el impacto de la promoción.
total_qty	numeric		FALSE	comma	header-theme2	1	Piezas estrategia	Piezas totales de la estrategia sin tomar en cuenta otros safeties.
total_impact_qty	numeric		FALSE	comma	header-theme2	1	Impacto en piezas	Impacto en la compra en piezas tomando en cuenta los demás safeties.
total_stock_qty	numeric		FALSE	comma	header-theme2	1	Piezas finales	Inventario final sumando el impacto en piezas al OH actual de las tiendas.
total_ddv	numeric		FALSE	comma	header-theme3	1	DDV estrategia	Días de venta totales de la estrategia sin tomar en cuenta otros safeties.
total_impact_ddv	numeric		FALSE	comma	header-theme3	1	Impacto en DDV	Impacto en días de venta tomando en cuenta los demás safeties.
total_stock_ddv	numeric		FALSE	comma	header-theme3	1	DDV finales	DDV que representan las piezas del impacto sumadas a las piezas OH de las tiendas.
total_vnpk	numeric		FALSE	comma	header-theme4	1	VNPK estrategia	Vendor packs totales de la estrategia sin tomar en cuenta otros safeties.
total_impact_vnpk	numeric		FALSE	comma	header-theme4	1	Impacto en VNPK	Impacto en la compra en vendor packs tomando en cuenta los demás safeties.
total_stock_vnpk	numeric		FALSE	comma	header-theme4	1	VNPK finales	VNPKs (cajas) que representan las piezas que hay en las tiendas (OH) más las del impacto de la promoción.
perc_max_feature_qty_bin	character		FALSE	character	default		Porcentaje de alcance	Porcentaje del máximo de exhibición que se recomienda enviar a la tienda.
ddv_bin	character		FALSE	character	default		Rango de DDV	Días de venta adicionales que representa la mercancía que se recomienda enviar a la tienda.
p_stores	numeric		FALSE	percent	default	1	Porcentaje de tiendas	Porcentaje de tiendas del formato que tienen el nivel de alcance.
avg_store_cost	numeric		FALSE	comma	default	1	Costo promedio por tienda	Costo promedio por tienda de la estrategia sin tomar en cuenta otros safeties.
avg_store_dly_pos_or_fcst	numeric		FALSE	comma	default	1	Forecast o ventas promedio	"Forecast promedio por tienda si la bandera de forecast o ventas está en ""F"", y ventas promedio por tienda si está en ""S""."
avg_store_qty	numeric		FALSE	comma	default	1	Piezas promedio por tienda	Piezas promedio por tienda de la estrategia sin tomar en cuenta otros safeties.
store_nbr	numeric		FALSE	character	default		Tienda	Determinante de la tienda (store_nbr).
store_name	character		FALSE	character	default		Nombre de la tienda	Nombre de la tienda (store_name).
dc_nbr	numeric		FALSE	character	default		Número de CEDIS	Determinante del CEDIS al que está alineada la combinación.
dc_name	character		FALSE	character	default		Nombre de CEDIS	Nombre del CEDIS al que está alineada la combinación.
avg_dly_pos_or_fcst	numeric		FALSE	comma	default	2	Forecast o ventas promedio	"Forecast promedio si la bandera de forecast o ventas está en ""F"", y ventas promedio si está en ""S""."
feature_perc_pos_or_fcst	numeric		FALSE	percent	default	1	Porcentaje de participación en la exhibición	Porcentaje de la exhibición asignado al artículo.
feature_qty_req_min	numeric		FALSE	comma	default	1	Piezas mínimas del artículo	= Porcentaje de la exhibición * Mínimo de exhibición
feature_qty_req	numeric		FALSE	comma	default	1	Sugerencia inicial (piezas)	= Porcentaje de la exhibición * Máximo de exhibición
feature_ddv_req	numeric		FALSE	comma	default	1	Sugerencia inicial (DDV)	= Sugerencia inicial (piezas) / Forecast o ventas promedio
feature_ddv_pre	numeric		FALSE	comma	default	1	DDV topados	"= Mínimo(Sugerencia inicial (DDV), Máximo de DDV)"
feature_qty_pre	numeric		FALSE	comma	default	1	Piezas topadas	= Porcentaje de la exhibición * DDV topados
feature_qty_pre_tot	numeric		FALSE	comma	default	1	Piezas de la exhibición topadas	Total de piezas en la exhibición después de aplicar los topes.
feature_qty_fin	numeric		FALSE	comma	default	1	Piezas finales	"Piezas finales recomendadas después de aplicar la ""Lógica mínimo""."
feature_ddv_fin	numeric		FALSE	comma	default	1	DDV finales	"Días de venta finales recomendadas después de aplicar la ""Lógica mínimo""."
display_key	character		FALSE	character	default		Llave de artículos en query	Llaves para filtrar los resultados del query.
split_var	character		FALSE	character	default		Llave de query	El query corre una vez por cada valor distinto de esta variable.
acct_dept_nbr	numeric		FALSE	character	default		Departamento	Número de departamento (sin ceros a la izquierda).
vendor9_nbr	numeric		FALSE	character	default		Proveedor	Número del proveedor a 9 dígitos.
vendor_name	character		FALSE	character	default		Nombre del proveedor	Nombre del proveedor.
status_grs	character		FALSE	character	default		Status GRS	Status GRS.
item_nbr	numeric		FALSE	character	default		Artículo (item_nbr)	Número de artículo de Teradata (item_nbr).
size_desc	character		FALSE	character	default		Presentación del artículo	Descripción de la presentación del artículo.
fineline	numeric		FALSE	character	default		Fineline	Fineline.
cost	numeric		FALSE	comma	default	2	Costo unitario	Costo unitario de la combinación.
vnpk_qty	numeric		FALSE	comma	default	1	VNPK	Vendor packs.
whpk_qty	numeric		FALSE	comma	default	1	WHPK	Warehouse packs.
state	character		FALSE	character	default		Estado	MX para todo México.
open_status	numeric		FALSE	character	default		Open status	Estátus de la tienda.
status_code	character		FALSE	character	default		Status code	Estátus del artículo.
carry_option	character		FALSE	character	default		Carry option	Identifica si el artículo está modulado (Resurtido).
carried_status	character		FALSE	character	default		Carried status	Identifica el artículo como resurtible.
type_code	numeric		FALSE	character	default		Type code	"Tipo de resurtido (SSTK, XDOCK, DSD)"
itm_mbm_code	character		FALSE	character	default		Itm mbm code	Identifica si el artículo está modulado (Modulares).
cancel_when_out_flag	character		FALSE	character	default		Cancel when out flag	Bandera de cancel when out.
ordbk_flag	character		FALSE	character	default		ORDBK flag	Bandera de resurtido automático.
sub_tipo	numeric		FALSE	character	default		Sub tipo	Sub tipo.
category_nbr	numeric		FALSE	character	default		Categoría	Categoría (primeros dos dígitos de la fineline).
store_cost	numeric		FALSE	comma	default	2	Costo total	Costo total de la estrategia sin tomar en cuenta otros safeties (i.e. compra máxima).
vnpk_fin	numeric		FALSE	comma	default	1	VNPK totales	Vendor packs totales de la estrategia sin tomar en cuenta otros safeties.
oh_qty	numeric		FALSE	comma	default	0	Piezas OH	Piezas que hay en existencia actual en las tiendas (OH).
sspress	numeric		FALSE	comma	default	1	SSPres actual	SSPres vigente al momento de la consulta.
sspress_fut	numeric		FALSE	comma	default	1	SSPres futuro	SSPres promedio cargado en el periodo especificado por el usuario (i.e. entre Promo StartDate y Promo EndDate).
base_press	numeric		FALSE	comma	default	1	Base Presentation	Base Presentation vigente al momento de la consulta.
sspress_tot	numeric		FALSE	comma	default	1	SSPres + Base Presentation	SSPres + Base Presentation
sspress_fut_tot	numeric		FALSE	comma	default	1	SSPres futuro + Base Presentation	SSPres + Base Presentation futuro
sscov	numeric		FALSE	comma	default	1	SSCov	SSCov promedio en piezas en el periodo Promo StartDate a Promo EndDate
sstemp	numeric		FALSE	comma	default	1	SSTemp	SSTemp promedio en piezas en el periodo Promo StartDate a Promo EndDate
sscov_tot	numeric		FALSE	comma	default	1	SSCov + SSTemp	SSCov + SSTemp
min_ss	numeric		FALSE	comma	default	1	MinSS	MinSS vigente al momento de la consulta.
max_ss	numeric		FALSE	comma	default	1	MaxSS	MaxSS vigente al momento de la consulta.
ss_ganador	numeric		FALSE	comma	default	1	Ganador actual en piezas	SS Ganador en piezas de la competencia entre todos los safeties *vigentes*.
ganador	character		FALSE	character	default		Ganador actual	Nombre del SS Ganador *actual*.
comp_sspress	numeric		FALSE	comma	default	1	SSPres comparativo	SSPres comparativo (ver parámetros de impacto).
comp_sspress_tot	numeric		FALSE	comma	default	1	SSPres comparativo + Base Presentation	SSPres comparativo + Base Presentation
comp_ss_winner_qty	numeric		FALSE	comma	default	1	SS Ganador comparativo en piezas	SS Ganador en piezas de la competencia entre todos los safeties *comparativos*.
comp_ss_winner_name	character		FALSE	character	default		SS Ganador comparativo	Nombre del SS Ganador *comparativo*.
new_sspress	numeric		FALSE	comma	default	1	SSPres final recomendado	SSPres final recomendado
new_sspress_tot	numeric		FALSE	comma	default	1	SSPres final recomendado + Base Presentation	SSPres final recomendado + Base Presentation
ss_winner_qty	numeric		FALSE	comma	default	1	SS Ganador final en piezas	SS Ganador en piezas de la competencia entre todos los safeties *aplicando la estrategia*.
ss_winner_name	character		FALSE	character	default		SS Ganador final	Nombre del SS Ganador *aplicando la estrategia*.
impact_qty	numeric		FALSE	comma	default	1	Impacto en piezas	Impacto en la compra en piezas tomando en cuenta los demás safeties.
impact_cost	numeric		FALSE	comma	default	0	Impacto en costo	Impacto en la compra en pesos a costo tomando en cuenta los demás safeties.
impact_ddv	numeric		FALSE	comma	default	1	Impacto en DDV	Impacto en días de venta tomando en cuenta los demás safeties.
impact_vnpk	numeric		FALSE	comma	default	1	Impacto en VNPK	Impacto en la compra en vendor packs tomando en cuenta los demás safeties.
stock_qty	numeric		FALSE	comma	default	1	Piezas finales	Inventario final sumando el impacto en piezas al OH actual de las tiendas.
stock_cost	numeric		FALSE	comma	default	0	Costo final	Costo de la mercancía que habría en las tiendas considerando el OH y el impacto de la promoción.
stock_ddv	numeric		FALSE	comma	default	1	DDV finales	DDV que representan las piezas del impacto sumadas a las piezas OH de las tiendas.
stock_vnpk	numeric		FALSE	comma	default	1	Cajas finales	VNPKs (cajas) que representan las piezas que hay en las tiendas (OH) más las del impacto de la promoción.
date	date		FALSE	date	default		Fecha	Fecha.
all	character		FALSE	character	default		Todos	Todos.
role	character		FALSE	character	default		Permisos	Nivel de permisos (owner > admin > basic).
vp	character		FALSE	character	default		Vicepresidencia	Vicepresidencia.
tribu	character		FALSE	character	default		Tribu	Tribu del usuario a la última actualización de la base de datos (no se guarda el histórico).
puesto	character		FALSE	character	default		Puesto	Puesto del usuario a la última actualización de la base de datos (no se guarda el histórico).
user_name	character		FALSE	character	default		Usuario	Nombre de usuario y usuario de red. El nombre sólo aparece si está en WM_AD_HOC.TABLA_RESURTIDOR.
n_actions	numeric		FALSE	comma	default	0	Acciones	Número de acciones registradas en el log.
n_sessions	numeric		FALSE	comma	default	0	Sesiones únicas	Sesiones únicas. Se registra una sesión cada que un usuario entra o recarga la página.
n_users	numeric		FALSE	comma	default	0	Usuarios activos	Usuarios activos.
p_active_users	numeric		FALSE	percent	default	1	Porcentaje de usuarios activos en la VP	Porcentaje de usuarios de la VP que estuvieron activos.
message	character		FALSE	character	default		Evento	Evento registrado en el log (ej. cargar un archivo de parámetros).
session	character		FALSE	character	default		ID de la sesión	UUID de la sesión. Se registra una sesión cada que un usuario entra o recarga la página.
platform	character		FALSE	character	default		Plataforma	"Plataforma por medio de la cuál se accedió a la herramienta (ej. SSO, Compass)"
event_group	numeric		FALSE	comma	default	0	Grupo de evento	Cada pareja START..END de un evento dado dentro de una misma sesión genera un grupo de evento.
duration_secs	numeric		FALSE	comma	default	1	Duración (segundos)	Duración del evento en segundos.
level	character		FALSE	character	default		Nivel del log	Nivel de urgencia del log (ERROR > WARN > INFO).
clearance	numeric		FALSE	character	default		Permisos (número)	"Nivel de permisos (owner = 0, admin = 1, basic = 2)."
top_role	character		FALSE	character	default		Permisos máximos	Nivel máximo de permisos.
details	character		FALSE	character	default		Detalles	Más detalles del evento.
name	character		FALSE	character	default		Nombre	Nombre del usuario obtenido de WM_AD_HOC.TABLA_RESURTIDOR.
var_name	character		FALSE	character	default		Columna (nombre interno)	Nombre interno de la columna (sólo para developers).
var_type	character		FALSE	character	default		Tipo	Tipo interno de la columna
var_is_constant_by_feature	logical		FALSE	character	default		¿Puede cambiar dentro de una misma promo?	"Algunas columnas deben tener el mismo valor dentro de una promoción (ej. el máximo de exhibición), pero otras no (ej. el número de artículo)."
var_is_input	logical		FALSE	character	default		¿Es un input?	¿Esta columna es un input?
var_format	character		FALSE	character	default		Formato en DT	Formato utilizado para generar la columna en datatable().
var_digits	numeric		FALSE	comma	default	0	Precisión	Precisión numérica de la columna en todas las tablas que ve el usuario.
var_pretty_name	character		FALSE	character	default		Columna	Nombre de la columna.
var_description	character		FALSE	character	default		Descripción	Descripción de la columna.
var_notes	character		FALSE	character	default		Notas	Notas adicionales.
item_length_qty	numeric		FALSE	comma	default	1	Largo del artículo (cm)	Longitud física de la pieza (cm).
item_height_qty	numeric		FALSE	comma	default	1	Alto del artículo (cm)	Altura física de la pieza (cm).
item_width_qty	numeric		FALSE	comma	default	1	Ancho del artículo (cm)	Anchura física de la pieza (cm).
whpk_length_qty	numeric		FALSE	comma	default	1	Largo del WHPK (cm)	Longitud física del warehouse pack (WHPK) (cm).
whpk_height_qty	numeric		FALSE	comma	default	1	Alto del WHPK (cm)	Altura física del warehouse pack (WHPK) (cm).
whpk_width_qty	numeric		FALSE	comma	default	1	Ancho del WHPK (cm)	Anchura física del warehouse pack (WHPK) (cm).
pallet_ti_qty	numeric		FALSE	comma	default	0	Pallet Ti	Número de VNPKs que caben en una cama del artículo.
pallet_hi_qty	numeric		FALSE	comma	default	0	Pallet Hi	Número de camas que caben en una tarima del artículo.
alto_cm	numeric		FALSE	comma	default	0	Alto de mueble (cm)	"Altura física del mueble usado para los cálculos (ya sea el deseado o el predeterminado, el valor es 0 (cero) si no exite) (cm)."
ancho_cm	numeric		FALSE	comma	default	0	Ancho de mueble (cm)	"Anchura física del mueble usado para los cálculos (ya sea el deseado o el predeterminado, el valor es 0 (cero) si no exite) (cm)."
profundo_cm	numeric		FALSE	comma	default	0	Profundo de mueble (cm)	"Profundidad física del mueble usado para los cálculos (ya sea el deseado o el predeterminado, el valor es 0 (cero) si no exite) (cm)."
shelves_qty	numeric		FALSE	comma	default	0	Muebles en zona	"Cantidad total de muebles iguales que existen en la misma tienda-zona y que por lo tanto, aplican para los mismos departamentos."
rrp_ind	character		FALSE	character	default		RRP Index	"Bandera que indica si el artículo cuenta con empaque de tipo ""Retail Ready Package (RRP)""."
gs1_sync_status	character		FALSE	character	default		Bandera de sincronización	Estatus de sincronización del artículo en el catálogo electrónico (OIF).
keys	character		FALSE	character	default		Llave de mueble deseado	Llave que se usa para filtrar la base de datos de los muebles por tienda-departamento con base en el mueble deseado.
default_keys	character		FALSE	character	default		Llave de mueble predeterminado	Llave que se usa para filtrar la base de datos de los muebles con base en el mueble establecido como predeterminado.
is_forced_default	numeric		FALSE	comma	default	0	Predeterminado forzado	Bandera activada para las combinaciones que no tienen mueble deseado y el mueble predeterminado está en piezas.
shelf_was_found	numeric		FALSE	comma	default	0	Mueble deseado encontrado	Bandera activada para las combinaciones de las que se buscó y encontró el mueble deseado.
is_unforced_chr_default	numeric		FALSE	comma	default	0	Predeterminado legítimo en texto	Bandera activada para las combinaciones de las que no se encontró el mueble deseado pero existe un mueble predeterminado como texto.
used_shelf	character		FALSE	character	default		Mueble utilizado	"Mueble que se usó en cada combinación para los cálculos de piezas máximas, 0 si no existe o si no aplica."
default_shelf_found	numeric		FALSE	comma	default	0	Mueble predeterminado encontrado	Bandera activada para las combinaciones de las que se buscó y encontró el mueble predeterminado.
no_rrp_shelves_number	numeric		FALSE	comma	default	0	Número de repisas (no RRP)	Cantidad de repisas que se estima que puede tener la cabecera si el artículo no se entregara en RRP.
no_rrp_ah	numeric		FALSE	comma	default	2	Altura efectiva de la cabecera (no RRP) (cm)	Altura de la cabecera - Espacio reservado por los anaqueles y los dedos de la clienta si el artículo no se entregara en RRP (cm).
no_rrp_lh	numeric		FALSE	comma	default	2	Altura efectiva del anaquel (no RRP) (cm)	Altura efectiva de la cabecera (no RRP) / Número de repisas (no RRP) (cm).
no_rrp_avail_space	numeric		FALSE	comma	default	2	Volumen efectivo en el anaquel (no RRP) (cm3)	Volumen del anaquel que puede ser ocupado por mercancía (no RRP) (cm3).
no_rrp_tiers_per_shelf	numeric		FALSE	comma	default	0	Estibas por anaquel (no RRP)	Máxima cantidad de piezas que pueden apilarse en el anaquel (no RRP).
no_rrp_tiers_ttl	numeric		FALSE	comma	default	0	Estibas totales (no RRP)	Máxima cantidad de camas que pueden caber en la cabecera (no RRP).
no_rrp_length_qty	numeric		FALSE	comma	default	0	Piezas en ancho	Máxima cantidad de piezas que pueden caber en el ancho de la cabecera.
no_rrp_width_qty	numeric		FALSE	comma	default	0	Piezas en profundo	Máxima cantidad de piezas que pueden caber en el profundo de la cabecera.
no_rrp_max_qty	numeric		FALSE	comma	default	0	Piezas máximas	Máxima cantidad de piezas que pueden en la cabecera.
rrp_shelves_number	numeric		FALSE	comma	default	0	Número de repisas (RRP)	Cantidad de repisas que se estima que puede tener la cabecera si el artículo se entregara en RRP.
rrp_ah	numeric		FALSE	comma	default	2	Altura efectiva de la cabecera (RRP) (cm)	Altura de la cabecera - Espacio reservado por los anaqueles y los dedos de la clienta si el artículo se entregara en RRP (cm).
rrp_lh	numeric		FALSE	comma	default	2	Altura efectiva del anaquel (RRP) (cm)	Altura efectiva de la cabecera (RRP) / Número de repisas (RRP) (cm).
rrp_avail_space	numeric		FALSE	comma	default	2	Volumen efectivo en el anaquel (RRP) (cm3)	Volumen del anaquel que puede ser ocupado por mercancía (RRP) (cm3).
rrp_tiers_per_shelf	numeric		FALSE	comma	default	0	Estibas por anaquel (RRP)	Máxima cantidad de WHPKs que pueden apilarse en el anaquel (RRP).
rrp_tiers_ttl	numeric		FALSE	comma	default	0	Estibas totales (RRP)	Máxima cantidad de camas que pueden caber en la cabecera (RRP).
rrp_length_qty	numeric		FALSE	comma	default	0	WHPKs en ancho	Máxima cantidad de WHPKs que pueden caber en el ancho de la cabecera.
rrp_width_qty	numeric		FALSE	comma	default	0	WHPKs en profundo	Máxima cantidad de WHPKs que pueden caber en el profundo de la cabecera.
rrp_max_qty	numeric		FALSE	comma	default	0	WHPKs máximas	Máxima cantidad de WHPKs que pueden en la cabecera.
pallet_length_item_qty	numeric		FALSE	comma	default	0	Piezas en largo de tarima	Máxima cantidad de piezas que caben en el largo de la tarima.
pallet_height_item_qty	numeric		FALSE	comma	default	0	Piezas en alto de tarima	Máxima cantidad de piezas que caben en el alto de la tarima.
pallet_width_item_qty	numeric		FALSE	comma	default	0	Piezas en ancho de tarima	Máxima cantidad de piezas que caben en el ancho de la tarima.
pallet_length_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en largo de tarima	Máxima cantidad de WHPKs que caben en el largo de la tarima.
pallet_height_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en alto de tarima	Máxima cantidad de WHPKs que caben en el alto de la tarima.
pallet_width_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en ancho de tarima	Máxima cantidad de WHPKs que caben en el ancho de la tarima.
chimney_length_item_qty	numeric		FALSE	comma	default	0	Piezas en largo de chimenea	Máxima cantidad de piezas que caben en el largo de la chimenea.
chimney_height_item_qty	numeric		FALSE	comma	default	0	Piezas en alto de chimenea	Máxima cantidad de piezas que caben en el alto de la chimenea.
chimney_width_item_qty	numeric		FALSE	comma	default	0	Piezas en ancho de chimenea	Máxima cantidad de piezas que caben en el ancho de la chimenea.
chimney_length_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en largo de chimenea	Máxima cantidad de WHPKs que caben en el largo de la chimenea.
chimney_height_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en alto de chimenea	Máxima cantidad de WHPKs que caben en el alto de la chimenea.
chimney_width_whpk_qty	numeric		FALSE	comma	default	0	WHPKs en ancho de chimenea	Máxima cantidad de WHPKs que caben en el ancho de la chimenea.
rrp_full_vol	numeric		FALSE	comma	default	0	Volumen RRP (cm3)	Volumen ocupado por los RRPs que caben en la cabecera (cm3).
left_avail_space	numeric		FALSE	comma	default	0	Volumen restante (cm3)	Volumen que sobra disponible en la cabecera luego de restar el Volumen RRP (cm3).
bkp_extra_pcs	numeric		FALSE	comma	default	0	Piezas adicionales	Piezas que caben en el Volumen restante de acuerdo a su volumetría.
max_item_capacity	numeric		FALSE	comma	default	0	Capacidad máxima (piezas)	Máximas piezas totales que caben en el mueble si se llenara con un sólo artículo.
